Category,Pattern,Problem,URL
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","11. Container With Most Water","https://leetcode.com/problems/container-with-most-water/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","15. 3Sum","https://leetcode.com/problems/3sum/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","16. 3Sum Closest","https://leetcode.com/problems/3sum-closest/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","18. 4Sum","https://leetcode.com/problems/4sum/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","167. Two Sum II - Input Array Is Sorted","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","349. Intersection of Two Arrays","https://leetcode.com/problems/intersection-of-two-arrays/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","881. Boats to Save People","https://leetcode.com/problems/boats-to-save-people/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","977. Squares of a Sorted Array","https://leetcode.com/problems/squares-of-a-sorted-array/"
"I. Two Pointer Patterns","Pattern 1: Two Pointers - Converging (Sorted Array Target Sum)","259. 3Sum Smaller","https://leetcode.com/problems/3sum-smaller/"
"I. Two Pointer Patterns","Pattern 2: Two Pointers - Fast & Slow (Cycle Detection)","141. Linked List Cycle","https://leetcode.com/problems/linked-list-cycle/"
"I. Two Pointer Patterns","Pattern 2: Two Pointers - Fast & Slow (Cycle Detection)","202. Happy Number","https://leetcode.com/problems/happy-number/"
"I. Two Pointer Patterns","Pattern 2: Two Pointers - Fast & Slow (Cycle Detection)","287. Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number/"
"I. Two Pointer Patterns","Pattern 2: Two Pointers - Fast & Slow (Cycle Detection)","392. Is Subsequence","https://leetcode.com/problems/is-subsequence/"
"I. Two Pointer Patterns","Pattern 3: Two Pointers - Fixed Separation (Nth Node from End)","19. Remove Nth Node From End of List","https://leetcode.com/problems/remove-nth-node-from-end-of-list/"
"I. Two Pointer Patterns","Pattern 3: Two Pointers - Fixed Separation (Nth Node from End)","876. Middle of the Linked List","https://leetcode.com/problems/middle-of-the-linked-list/"
"I. Two Pointer Patterns","Pattern 3: Two Pointers - Fixed Separation (Nth Node from End)","2095. Delete the Middle Node of a Linked List","https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","26. Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","27. Remove Element","https://leetcode.com/problems/remove-element/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","75. Sort Colors","https://leetcode.com/problems/sort-colors/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","80. Remove Duplicates from Sorted Array II","https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","283. Move Zeroes","https://leetcode.com/problems/move-zeroes/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","443. String Compression","https://leetcode.com/problems/string-compression/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","905. Sort Array By Parity","https://leetcode.com/problems/sort-array-by-parity/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","2337. Move Pieces to Obtain a String","https://leetcode.com/problems/move-pieces-to-obtain-a-string/"
"I. Two Pointer Patterns","Pattern 4: Two Pointers - In-place Array Modification","2938. Separate Black and White Balls","https://leetcode.com/problems/separate-black-and-white-balls/"
"I. Two Pointer Patterns","Pattern 5: Two Pointers - String Comparison","844. Backspace String Compare","https://leetcode.com/problems/backspace-string-compare/"
